Postcode,Type,Subtype,Price,Bedrooms,Area,Kitchen,Fireplace,Frontages,Garden,Garden_surface,Terrace,Terrace_Surface,Furnished,Type_of_sale,State_of_building,Swimmingpool,ID IMMOWEB,Cadastral_income,Plot_surface
9290,APARTMENT,APARTMENT,675000.0,2.0,100.0,1,0,4.0,0,,1,27.0,0,BUY_REGULAR,,0,20364048,1382.0,
9300,HOUSE,HOUSE,245000.0,3.0,120.0,1,0,2.0,0,,1,,0,BUY_REGULAR,GOOD,0,20364042,,
4800,HOUSE,HOUSE,315000.0,3.0,130.0,0,0,2.0,0,,1,8.0,0,BUY_REGULAR,,0,20364041,,
2540,APARTMENT,APARTMENT,279000.0,2.0,91.0,1,0,,0,,0,,0,BUY_REGULAR,JUST_RENOVATED,0,20364036,,
2990,HOUSE,HOUSE,475000.0,3.0,220.0,1,0,4.0,0,,0,,0,BUY_REGULAR,GOOD,0,20364031,1407.0,1581.0
3200,HOUSE,VILLA,679000.0,4.0,360.0,1,1,,0,,0,,0,BUY_REGULAR,GOOD,0,20364037,,
1785,HOUSE,HOUSE,425000.0,3.0,172.0,0,0,3.0,1,1.0,1,1.0,0,BUY_REGULAR,GOOD,0,20364029,882.0,556.0
7041,HOUSE,HOUSE,372000.0,3.0,168.0,1,0,4.0,0,,1,,0,BUY_REGULAR,,0,20159901,,386.0
2950,HOUSE,HOUSE,1585000.0,5.0,457.0,1,0,4.0,1,3830.0,0,,0,BUY_REGULAR,,0,20364030,,4000.0
5100,HOUSE,HOUSE,390000.0,4.0,180.0,1,0,2.0,0,,1,,0,BUY_REGULAR,GOOD,0,20252152,,780.0
7870,HOUSE,MIXED_USE_BUILDING,380000.0,3.0,195.0,1,0,4.0,0,,1,,0,BUY_REGULAR,GOOD,0,11023302,,942.0
6700,HOUSE,HOUSE,390000.0,2.0,109.0,1,0,2.0,0,,1,10.0,0,BUY_REGULAR,AS_NEW,0,20198184,1224.0,
5030,HOUSE,HOUSE,395000.0,4.0,309.0,0,0,,0,,0,,0,BUY_REGULAR,GOOD,0,11396472,1125.0,3127.0
7500,HOUSE,HOUSE,399000.0,4.0,245.0,1,0,2.0,0,,1,25.0,0,BUY_REGULAR,AS_NEW,0,20157867,911.0,140.0
6780,HOUSE,HOUSE,450000.0,5.0,253.0,0,0,3.0,0,,1,40.0,0,BUY_REGULAR,,0,20059424,865.0,1996.0
7760,HOUSE,HOUSE,449000.0,4.0,355.0,1,0,,0,,0,,0,BUY_REGULAR,GOOD,0,11404160,637.0,2100.0
7912,HOUSE,HOUSE,460000.0,3.0,202.0,1,0,3.0,1,1000.0,1,35.0,0,BUY_REGULAR,AS_NEW,0,20291877,995.0,1200.0
7863,HOUSE,VILLA,469000.0,3.0,220.0,1,1,4.0,0,,1,,0,BUY_REGULAR,,0,20223288,737.0,2500.0
7060,HOUSE,VILLA,465000.0,5.0,245.0,0,0,4.0,0,,0,,0,BUY_REGULAR,,0,11428479,1.0,700.0
7131,HOUSE,HOUSE,595000.0,8.0,536.0,1,0,4.0,1,3940.0,1,153.0,0,BUY_REGULAR,,0,11197945,2380.0,3940.0
6940,HOUSE,HOUSE,485000.0,4.0,180.0,1,0,,0,,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20225251,1450.0,13201.0
5640,HOUSE,FARMHOUSE,479000.0,4.0,222.0,1,0,4.0,0,,1,,0,BUY_REGULAR,GOOD,0,11350692,805.0,3808.0
7500,HOUSE,APARTMENT_BLOCK,595000.0,8.0,,1,0,2.0,1,250.0,1,60.0,1,BUY_REGULAR,JUST_RENOVATED,0,11393133,2861.0,252.0
6591,HOUSE,HOUSE,550000.0,6.0,,1,0,6.0,1,1.0,0,,0,BUY_REGULAR,GOOD,1,20223807,,2050.0
1495,HOUSE,VILLA,650000.0,4.0,206.0,0,0,4.0,1,2081.0,1,136.0,0,BUY_REGULAR,AS_NEW,0,20230115,1132.0,2527.0
7910,HOUSE,COUNTRY_COTTAGE,749000.0,6.0,400.0,1,0,4.0,0,,1,,0,BUY_REGULAR,JUST_RENOVATED,0,20264430,1310.0,2474.0
